name,LogFC,pvalue,padj
AIM33,-0.5466602749788909,0.3127646209160951,0.9992707319087202
AIM39,-0.06570022555730318,0.8337132984878423,0.9992707319087202
AIM41,4.504445270159015,6.480383385856044e-23,1.3414393608722011e-20
AIM46,1.0964419787079263,0.004100410969276788,0.09211620921677621
AIM9,4.953745751027806,3.025536684526159e-17,2.9226684372522694e-15
AIP1,1.545023513988524,2.4741417417565264e-5,7.547434492221488e-4
AIP5,-0.8509562688696463,0.2054616495826926,0.9992707319087202
AIR1,-0.4015955917150583,0.32801129491369785,0.9992707319087202
AIT1,0.570531382086347,0.5307574971709137,0.9992707319087202
AKL1,-1.8463834316192413,0.25125877424492643,0.9992707319087202
AKR2,-0.48201286749849165,0.46782747448742584,0.9992707319087202
ALB1,0.09377897227671443,0.923057340050405,0.9992707319087202
ALD2,-0.6254880067453801,0.46463109707903255,0.9992707319087202
ALD3,-0.22895602309335358,0.751239466445656,0.9992707319087202
ALD4,-1.1978849770660729,0.21494446589149302,0.9992707319087202
ALD5,2.1052358088213396,3.659467844067741e-4,0.009911343749633938
ALF1,4.394838232953,1.1371186610105571e-4,0.0032307547839299944
ALG12,-1.6644744043949418,4.5363236731629016e-4,0.011953790329521869
ALO1,-0.10966013564234792,0.7583625798289474,0.9992707319087202
ALR2,-0.039918540503929734,0.934245564461214,0.9992707319087202
ALT1,-0.07174463308321082,0.8890723543395794,0.9992707319087202
ALT2,-0.8264475364796587,0.4209089837964694,0.9992707319087202
ALY1,-0.4065193270348939,0.38451988441031026,0.9992707319087202
ALY2,0.573449632704552,0.3281420018485576,0.9992707319087202
AMD1,-0.9180549484607171,0.313962247810016,0.9992707319087202
AMD2,-0.3194512801624862,0.5637478274280381,0.9992707319087202
AMF1,-0.2612823611137632,0.5468047135742506,0.9992707319087202
AMN1,-0.0757935626466903,0.9262666935445388,0.9992707319087202
AMS1,0.04770946613187132,0.9544069108186635,0.9992707319087202
ANR2,-0.1254905926348123,0.7343499902154363,0.9992707319087202
ANS1,0.35875051701138605,NA,NA
ANY1,0.11493162766600734,0.8895676718360758,0.9992707319087202
APA1,0.24977322349915135,0.5276522606504594,0.9992707319087202
APA2,-0.032168355556370855,0.96382422610898,0.9992707319087202
APC9,-0.9621945663222046,0.15951454744238283,0.9992707319087202
APD1,-0.4383285049885813,0.32664325047562864,0.9992707319087202
APE1,-0.5439729215258192,0.6667448909180314,0.9992707319087202
APE2,-0.9852907564608538,0.3708971873892668,0.9992707319087202
APE3,0.1888946360082157,0.6843722205759539,0.9992707319087202
APE4,0.13447353172116389,0.6431481525439393,0.9992707319087202
APJ1,-0.18849649580624253,0.8236090970699462,0.9992707319087202
APL1,-0.9039412196645743,0.14763657618906412,0.9992707319087202
APL2,4.169369465275686,3.9566368111070987e-32,1.6380476397983389e-29
APL4,0.36073469487688437,0.595475925260391,0.9992707319087202
APL5,0.4721093999572612,0.5175295548861176,0.9992707319087202
APL6,-0.172699337316315,0.8077773283203927,0.9992707319087202
APM2,0.04810176068136996,0.8952955932158086,0.9992707319087202
APN1,-0.2435715214859442,0.614684451744435,0.9992707319087202
APP1,-0.48039454280278454,0.7437793496062002,0.9992707319087202
APQ12,1.0776321191491107,0.134028751821821,0.9898453791646851
APS1,0.7491666329550979,0.2184261235128232,0.9992707319087202
APS2,-0.2573180092389112,0.8031880152589985,0.9992707319087202
APS3,-1.3017179445566744,0.3215088711873832,0.9992707319087202
AQR1,0.055253492746428885,0.9219942880294563,0.9992707319087202
AQY2,-0.11040370791997958,0.8826175306103446,0.9992707319087202
AQY3,0.13392647835715946,0.877853781528238,0.9992707319087202
ARA2,-0.2403221494471218,0.6556734118165819,0.9992707319087202
ARE1,-0.7933245804521797,0.23480284122344983,0.9992707319087202
ARE2,0.0726073020845259,0.870924440904521,0.9992707319087202
ARF3,-0.4940675040739879,0.5146360724587232,0.9992707319087202
ARG1,-0.2166131203413327,0.6792638284835621,0.9992707319087202
ARG2,-0.3556918718180332,0.6342315806436178,0.9992707319087202
ARG3,0.304855302321432,0.6787383604466258,0.9992707319087202
ARG4,-0.12196821007670487,0.8414768755612881,0.9992707319087202
ARG56,0.3920705174624928,0.5431438369977895,0.9992707319087202
ARG80,0.730584186435607,0.5183934323244321,0.9992707319087202
ARI1,-0.1972195701454526,0.7334754477725235,0.9992707319087202
ARK1,-0.11810783443164889,0.8924736609760148,0.9992707319087202
ARL1,0.5214545381673128,0.5284295560020972,0.9992707319087202
ARN1,-0.21391810711184694,0.6181408006016904,0.9992707319087202
ARN2,0.07938495522392625,0.8355638856120217,0.9992707319087202
ARO10,-0.9443067785632427,0.13923562759755856,0.9898453791646851
ARO2,0.1720169053075626,0.8812645219416411,0.9992707319087202
ARO3,-1.885949066212995,0.005457089309287404,0.11471381262835571
ARO7,-0.043006498601444856,0.9008814463853507,0.9992707319087202
ARO80,-0.19318945786296676,0.6846924257496492,0.9992707319087202
ARO9,-1.4043563816229139,0.25381070300058844,0.9992707319087202
ARP1,-0.9786586572236892,0.3195309303028906,0.9992707319087202
ART10,-0.19780842660195005,0.6319611236081568,0.9992707319087202
ASE1,0.051954782977075134,0.9730494258194096,0.9992707319087202
ASG1,0.49498112422569657,0.444971872482635,0.9992707319087202
ASH1,0.4475303995277985,0.7772151311486574,0.9992707319087202
ASI2,-0.06859362581267063,0.8276207579385296,0.9992707319087202
ASI3,-0.9920321908750086,0.21714373142317872,0.9992707319087202
ASK10,-0.776564039872829,0.38110135436743364,0.9992707319087202
ASN2,-0.04121539185721568,0.9054059508016518,0.9992707319087202
ASP1,4.65321804237051,1.192788245271848e-8,5.083382845290905e-7
ASR1,-1.8214937112990663,0.10873222758421305,0.9240645030470658
AST2,0.11792742557912697,0.8596816125895361,0.9992707319087202
ATC1,0.3063601994559754,0.7115934166459326,0.9992707319087202
ATF1,0.4392730588260479,0.5020645273760711,0.9992707319087202
ATF2,1.164414268682703,0.09411242817266754,0.8888399827554935
ATG1,0.1694130125347147,0.7559653692694047,0.9992707319087202
ATG10,0.25316067249968083,0.6518540894765426,0.9992707319087202
