name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT,exp
BUD17,0.10309834220285907,4.882593288001416,4.7794949457985565,0.02157097002340975,0.03726075230744043,0.10309834220285907,0.19936379682799554,2.0709796427423552,0.8181195847037357,0.6607561159050053,0.9954936997189089,0.999525168978149,pg_pd
BUD2,-0.7890509495593889,4.515044118207348,5.304095067766737,-0.14876259559420282,-0.13307281331017215,-0.7890509495593889,-0.6927854949342525,-7.196615833083646,0.04868036434518973,0.06814469489069781,0.788028842115787,0.999525168978149,pg_pd
BUD26,-0.05325040063230446,3.0310348432490315,3.084285243881336,-0.01726506999893853,-0.0015752877149078533,-0.05325040063230446,0.04301505399283201,0.44683790421325326,0.9802148025078246,0.9840169287949012,0.9988932433072789,0.999525168978149,pg_pd
BUD27,0.24352134785799368,-0.022541780558584735,-0.2660631284165784,0.9152765710426031,0.9309663533266338,0.24352134785799368,0.33978680248313015,3.5296857403964963,0.4240421225011551,0.2978732349219212,0.9954936997189089,0.999525168978149,pg_pd
BUD3,-0.35836599008716963,4.602441712207733,4.960807702294902,-0.07223944397630797,-0.05654966169227729,-0.35836599008716963,-0.26210053546203316,-2.7226852714991954,0.4464267311625075,0.5645998288175988,0.9954936997189089,0.999525168978149,pg_pd
BUD31,0.37867638389404845,0.5747113758507669,0.19603499195671845,1.9316775036655418,1.9473672859495725,0.37867638389404845,0.4749418385191849,4.933668472959872,0.6182450111863402,0.5379859286223436,0.9954936997189089,0.999525168978149,pg_pd
BUD6,0.04701798136198576,5.046209389247068,4.999191407885082,0.009405117253127305,0.02509489953715798,0.04701798136198576,0.14328343598712223,1.4884200832487275,0.9425423319908294,0.8271219799641314,0.9979039075422546,0.999525168978149,pg_pd
BUD8,-0.4661092828420843,5.012884624793541,5.478993907635625,-0.08507205715131494,-0.06938227486728427,-0.4661092828420843,-0.36984382821694783,-3.841916393135442,0.21209018155423914,0.30346401138507906,0.9954936997189089,0.999525168978149,pg_pd
BUD9,-0.3597379770522515,3.7183159407622712,4.078053917814523,-0.08821314879648265,-0.07252336651245198,-0.3597379770522515,-0.26347252242711505,-2.7369373930980023,0.49838169623770545,0.6109560854178865,0.9954936997189089,0.999525168978149,pg_pd
BUG1,1.356359240980816,3.8825564584640686,2.5261972174832525,0.5369173996367954,0.5526071819208261,1.356359240980816,1.4526246956059525,15.089781700637694,0.4968076651807649,0.4706460429028126,0.9954936997189089,0.999525168978149,pg_pd
BUL1,0.24114885860170543,2.0867704806844802,1.8456216220827748,0.13065996611459837,0.14634974839862905,0.24114885860170543,0.3374143132268419,3.505040458602245,0.8387496688676908,0.7767288057156015,0.9954936997189089,0.999525168978149,pg_pd
BUL2,-0.6264632510720833,6.0505882915860845,6.677051542658168,-0.0938233361042298,-0.07813355382019913,-0.6264632510720833,-0.5301977964469469,-5.5076641824584875,0.10902406884103895,0.14549450246165224,0.9849228202098391,0.999525168978149,pg_pd
BXI1,-0.23390068760151728,5.2308166297226695,5.464717317324187,-0.04280197382946194,-0.02711219154543126,-0.23390068760151728,-0.1376352329763808,-1.4297468755779605,0.7257881887452966,0.8349539475282426,0.9954936997189089,0.999525168978149,pg_pd
BYE1,-0.2495048039908525,7.188585583143203,7.438090387134055,-0.03354420167069096,-0.01785441938666028,-0.2495048039908525,-0.15323934936571604,-1.591841538197055,0.3979645790873591,0.5899598457515143,0.9954936997189089,0.999525168978149,pg_pd
BZZ1,0.22386812475465412,6.664840567302903,6.440972442548249,0.03475688287001658,0.05044666515404726,0.22386812475465412,0.3201335793797906,3.3255291903664737,0.3049025551966166,0.18507297769499345,0.9954936997189089,0.999525168978149,pg_pd
CAC2,0.7539453552070574,4.28025080739971,3.526305452192653,0.21380602600329335,0.22949580828732402,0.7539453552070574,0.8502108098321939,8.831940940215432,0.49744977260744294,0.45025473845970754,0.9954936997189089,0.999525168978149,pg_pd
