name,LogFC,mean_pg,mean_control,f,f_WT,delta,delta_WT,delta_WT_norm,pvalue,pvalue_WT,padj,padj_WT
JNM1,-0.8902111126960581,0.7449865837727638,1.635197696468822,-0.5444058015850022,-0.5287160193009715,-0.8902111126960581,-0.7939456580709217,-8.24746178328035,0.37596204261847,0.4236505296338897,0.9954936997189089,0.999525168978149
JSN1,-0.6777992796122749,5.457783289441172,6.135582569053447,-0.11047024010905632,-0.09478045782502564,-0.6777992796122749,-0.5815338249871385,-6.040939891175568,0.14426930777928446,0.19285807589619008,0.9954936997189089,0.999525168978149
KAP120,1.2102364377657087,3.4196896668148984,2.2094532290491897,0.5477538161269513,0.563443598410982,1.2102364377657087,1.3065018923908451,13.571866434106013,0.0891569944634347,0.07694074085177002,0.9586305113828285,0.999525168978149
KAR5,-0.5571757983519658,5.928770496505179,6.485946294857145,-0.08590508971586201,-0.07021530743183134,-0.5571757983519658,-0.4609103437268294,-4.7879101129438615,0.1428112237062617,0.19788246933661685,0.9954936997189089,0.999525168978149
KAR9,0.24912100050760566,4.119515408327468,3.870394407819862,0.06436579176640862,0.0800555740504393,0.24912100050760566,0.34538645513274213,3.5878546097112194,0.6016985715096921,0.47789644210903787,0.9954936997189089,0.999525168978149
KCC4,-0.8131132608040135,2.79017488080001,3.6032881416040237,-0.2256586841933911,-0.20996890190936043,-0.8131132608040135,-0.716847806178877,-7.446573736864651,0.22046823401236493,0.26262507518555817,0.9954936997189089,0.999525168978149
KCH1,-0.1832946335669936,5.2877987859094695,5.471093419476463,-0.03350237685843305,-0.01781259457440237,-0.1832946335669936,-0.08702917894185713,-0.9040540999962452,0.5166308518101873,0.7526376977742382,0.9954936997189089,0.999525168978149
KCS1,1.4419724798923645,2.6528482844235572,1.2108758045311927,1.1908508490271172,1.206540631311148,1.4419724798923645,1.538237934517501,15.979127097124229,0.3021401842387374,0.27717601507125733,0.9954936997189089,0.999525168978149
KDX1,-0.07484261896711875,4.273173967726699,4.348016586693817,-0.017213048173771624,-0.001523265889740947,-0.07484261896711875,0.021422835658017725,0.22253918335959197,0.8449399110005545,0.9552175550272279,0.9954936997189089,0.999525168978149
KEL1,-0.9133293987176199,4.835751811962918,5.749081210680538,-0.158865280424436,-0.14317549814040534,-0.9133293987176199,-0.8170639440924834,-8.487613207398024,0.13972810630005034,0.16784020473706873,0.9954936997189089,0.999525168978149
KEL2,-0.2031373106189882,10.521201984836456,10.724339295455444,-0.018941708670581682,-0.0032519263865510052,-0.2031373106189882,-0.10687185599385174,-1.110178686736766,0.6396396010632803,0.8033288125139026,0.9954936997189089,0.999525168978149
KEL3,0.7111420946437219,5.814480733662538,5.1033386390188165,0.13934840404407267,0.15503818632810334,0.7111420946437219,0.8074075492688584,8.387303133953425,0.11895938010722155,0.08819139858558898,0.9954936997189089,0.999525168978149
KES1,0.1636695014146179,6.693049736238291,6.529380234823673,0.02506662126088263,0.040756403544913306,0.1636695014146179,0.25993495603975436,2.700189357147451,0.19159654439079613,0.081814853559342815,0.9954936997189089,0.999525168978149
KGD1,2.990054725572361,6.19092570191384,3.200870976341479,0.9341378480022098,0.9498276302862405,2.990054725572361,3.0863201801974975,32.06051633180164,0.0014573262667842738,0.001341942895223759,0.2542208753182894,0.2515533587852072
KGD2,1.1462047482253972,1.2463457160315221,0.10014096780612482,11.445912430609575,11.461602212893606,1.1462047482253972,1.2424702028505337,12.906708929893783,0.4634983373515929,0.4310549739770053,0.9954936997189089,0.999525168978149
KHA1,2.5853674527375006,2.319304324320922,-0.2660631284165784,9.71712039967281,9.732810181956841,2.5853674527375006,2.681632907362637,27.856648242145415,0.0063984493486955235,0.005685742047584667,0.30916143898469733,0.30796063061341483
KIN1,-0.10530438993032565,5.340798902528159,5.446103292458485,-0.01933573130648226,-0.0036459490224515848,-0.10530438993032565,-0.009038935305189177,-0.09389593951835933,0.7739184938358435,0.9801697669869529,0.9954936997189089,0.999525168978149
