name,LogFC,pvalue,padj,exp
AIM21,0.2466870516579748,0.7444658120919634,0.9992707319087202,pg_pd
AIM24,-0.8652318144913298,0.36447880246574926,0.9992707319087202,pg_pd
AIM25,-0.19547921895747983,0.7149333754872786,0.9992707319087202,pg_pd
AIM26,-0.005763221441713828,0.9946766258976997,0.9992707319087202,pg_pd
AIM32,-0.18191006400806212,0.625253811682182,0.9992707319087202,pg_pd
AIM33,-0.5466602749788909,0.3127646209160951,0.9992707319087202,pg_pd
AIM39,-0.06570022555730318,0.8337132984878423,0.9992707319087202,pg_pd
AIM41,4.504445270159015,6.480383385856044e-23,1.3414393608722011e-20,pg_pd
AIM46,1.0964419787079263,0.004100410969276788,0.09211620921677621,pg_pd
AIM9,4.953745751027806,3.025536684526159e-17,2.9226684372522694e-15,pg_pd
AIP1,1.545023513988524,2.4741417417565264e-5,7.547434492221488e-4,pg_pd
AIP5,-0.8509562688696463,0.2054616495826926,0.9992707319087202,pg_pd
AIR1,-0.4015955917150583,0.32801129491369785,0.9992707319087202,pg_pd
AIT1,0.570531382086347,0.5307574971709137,0.9992707319087202,pg_pd
AKL1,-1.8463834316192413,0.25125877424492643,0.9992707319087202,pg_pd
AKR2,-0.48201286749849165,0.46782747448742584,0.9992707319087202,pg_pd
ALB1,0.09377897227671443,0.923057340050405,0.9992707319087202,pg_pd
ALD2,-0.6254880067453801,0.46463109707903255,0.9992707319087202,pg_pd
ALD3,-0.22895602309335358,0.751239466445656,0.9992707319087202,pg_pd
ALD4,-1.1978849770660729,0.21494446589149302,0.9992707319087202,pg_pd
ALD5,2.1052358088213396,3.659467844067741e-4,0.009911343749633938,pg_pd
ALF1,4.394838232953,1.1371186610105571e-4,0.0032307547839299944,pg_pd
ALG12,-1.6644744043949418,4.5363236731629016e-4,0.011953790329521869,pg_pd
ALO1,-0.10966013564234792,0.7583625798289474,0.9992707319087202,pg_pd
ALR2,-0.039918540503929734,0.934245564461214,0.9992707319087202,pg_pd
ALT1,-0.07174463308321082,0.8890723543395794,0.9992707319087202,pg_pd
ALT2,-0.8264475364796587,0.4209089837964694,0.9992707319087202,pg_pd
ALY1,-0.4065193270348939,0.38451988441031026,0.9992707319087202,pg_pd
ALY2,0.573449632704552,0.3281420018485576,0.9992707319087202,pg_pd
AMD1,-0.9180549484607171,0.313962247810016,0.9992707319087202,pg_pd
AMD2,-0.3194512801624862,0.5637478274280381,0.9992707319087202,pg_pd
AMF1,-0.2612823611137632,0.5468047135742506,0.9992707319087202,pg_pd
AMN1,-0.0757935626466903,0.9262666935445388,0.9992707319087202,pg_pd
AMS1,0.04770946613187132,0.9544069108186635,0.9992707319087202,pg_pd
ANR2,-0.1254905926348123,0.7343499902154363,0.9992707319087202,pg_pd
ANS1,0.35875051701138605,NA,NA,pg_pd
ANY1,0.11493162766600734,0.8895676718360758,0.9992707319087202,pg_pd
APA1,0.24977322349915135,0.5276522606504594,0.9992707319087202,pg_pd
APA2,-0.032168355556370855,0.96382422610898,0.9992707319087202,pg_pd
APC9,-0.9621945663222046,0.15951454744238283,0.9992707319087202,pg_pd
APD1,-0.4383285049885813,0.32664325047562864,0.9992707319087202,pg_pd
APE1,-0.5439729215258192,0.6667448909180314,0.9992707319087202,pg_pd
APE2,-0.9852907564608538,0.3708971873892668,0.9992707319087202,pg_pd
APE3,0.1888946360082157,0.6843722205759539,0.9992707319087202,pg_pd
APE4,0.13447353172116389,0.6431481525439393,0.9992707319087202,pg_pd
APJ1,-0.18849649580624253,0.8236090970699462,0.9992707319087202,pg_pd
APL1,-0.9039412196645743,0.14763657618906412,0.9992707319087202,pg_pd
APL2,4.169369465275686,3.9566368111070987e-32,1.6380476397983389e-29,pg_pd
APL4,0.36073469487688437,0.595475925260391,0.9992707319087202,pg_pd
APL5,0.4721093999572612,0.5175295548861176,0.9992707319087202,pg_pd
APL6,-0.172699337316315,0.8077773283203927,0.9992707319087202,pg_pd
APM2,0.04810176068136996,0.8952955932158086,0.9992707319087202,pg_pd
APN1,-0.2435715214859442,0.614684451744435,0.9992707319087202,pg_pd
APP1,-0.48039454280278454,0.7437793496062002,0.9992707319087202,pg_pd
APQ12,1.0776321191491107,0.134028751821821,0.9898453791646851,pg_pd
APS1,0.7491666329550979,0.2184261235128232,0.9992707319087202,pg_pd
APS2,-0.2573180092389112,0.8031880152589985,0.9992707319087202,pg_pd
APS3,-1.3017179445566744,0.3215088711873832,0.9992707319087202,pg_pd
AQR1,0.055253492746428885,0.9219942880294563,0.9992707319087202,pg_pd
AQY2,-0.11040370791997958,0.8826175306103446,0.9992707319087202,pg_pd
AQY3,0.13392647835715946,0.877853781528238,0.9992707319087202,pg_pd
ARA2,-0.2403221494471218,0.6556734118165819,0.9992707319087202,pg_pd
ARE1,-0.7933245804521797,0.23480284122344983,0.9992707319087202,pg_pd
ARE2,0.0726073020845259,0.870924440904521,0.9992707319087202,pg_pd
ARF3,-0.4940675040739879,0.5146360724587232,0.9992707319087202,pg_pd
ARG1,-0.2166131203413327,0.6792638284835621,0.9992707319087202,pg_pd
ARG2,-0.3556918718180332,0.6342315806436178,0.9992707319087202,pg_pd
ARG3,0.304855302321432,0.6787383604466258,0.9992707319087202,pg_pd
ARG4,-0.12196821007670487,0.8414768755612881,0.9992707319087202,pg_pd
ARG56,0.3920705174624928,0.5431438369977895,0.9992707319087202,pg_pd
ARG80,0.730584186435607,0.5183934323244321,0.9992707319087202,pg_pd
ARI1,-0.1972195701454526,0.7334754477725235,0.9992707319087202,pg_pd
ARK1,-0.11810783443164889,0.8924736609760148,0.9992707319087202,pg_pd
ARL1,0.5214545381673128,0.5284295560020972,0.9992707319087202,pg_pd
ARN1,-0.21391810711184694,0.6181408006016904,0.9992707319087202,pg_pd
ARN2,0.07938495522392625,0.8355638856120217,0.9992707319087202,pg_pd
ARO10,-0.9443067785632427,0.13923562759755856,0.9898453791646851,pg_pd
ARO2,0.1720169053075626,0.8812645219416411,0.9992707319087202,pg_pd
ARO3,-1.885949066212995,0.005457089309287404,0.11471381262835571,pg_pd
ARO7,-0.043006498601444856,0.9008814463853507,0.9992707319087202,pg_pd
ARO80,-0.19318945786296676,0.6846924257496492,0.9992707319087202,pg_pd
ARO9,-1.4043563816229139,0.25381070300058844,0.9992707319087202,pg_pd
ARP1,-0.9786586572236892,0.3195309303028906,0.9992707319087202,pg_pd
ART10,-0.19780842660195005,0.6319611236081568,0.9992707319087202,pg_pd
ASE1,0.051954782977075134,0.9730494258194096,0.9992707319087202,pg_pd
ASG1,0.49498112422569657,0.444971872482635,0.9992707319087202,pg_pd
ASH1,0.4475303995277985,0.7772151311486574,0.9992707319087202,pg_pd
ASI2,-0.06859362581267063,0.8276207579385296,0.9992707319087202,pg_pd
ASI3,-0.9920321908750086,0.21714373142317872,0.9992707319087202,pg_pd
ASK10,-0.776564039872829,0.38110135436743364,0.9992707319087202,pg_pd
ASN2,-0.04121539185721568,0.9054059508016518,0.9992707319087202,pg_pd
ASP1,4.65321804237051,1.192788245271848e-8,5.083382845290905e-7,pg_pd
ASR1,-1.8214937112990663,0.10873222758421305,0.9240645030470658,pg_pd
AST2,0.11792742557912697,0.8596816125895361,0.9992707319087202,pg_pd
ATC1,0.3063601994559754,0.7115934166459326,0.9992707319087202,pg_pd
ATF1,0.4392730588260479,0.5020645273760711,0.9992707319087202,pg_pd
ATF2,1.164414268682703,0.09411242817266754,0.8888399827554935,pg_pd
ATG1,0.1694130125347147,0.7559653692694047,0.9992707319087202,pg_pd
ATG10,0.25316067249968083,0.6518540894765426,0.9992707319087202,pg_pd
ATG12,-0.5518579583355004,0.3453656732172225,0.9992707319087202,pg_pd
ATG14,-0.6908716747811747,0.28666968289354905,0.9992707319087202,pg_pd
ATG15,-0.8686322634458964,0.13422068403643334,0.9898453791646851,pg_pd
ATG16,0.03732362664920125,0.9228698865491787,0.9992707319087202,pg_pd
ATG18,0.009867542288832012,0.9844543313109455,0.9992707319087202,pg_pd
ATG19,-0.7919345313797169,0.17097320943360697,0.9992707319087202,pg_pd
ATG21,-0.7377457784690689,0.0894953591735708,0.8788659573409141,pg_pd
ATG23,-0.31700511401307435,0.5962500500584214,0.9992707319087202,pg_pd
ATG26,-0.6352761757798774,0.4345282171633461,0.9992707319087202,pg_pd
ATG27,-1.5327148029900506,0.14608486547617727,0.9992707319087202,pg_pd
ATG29,-0.19278902025616823,NA,NA,pg_pd
ATG3,0.6412165867017452,0.4118948906809634,0.9992707319087202,pg_pd
ATG31,-0.8617406295250336,0.2669769084520956,0.9992707319087202,pg_pd
ATG32,-0.8133913551950234,0.0838202345384812,0.870873473121114,pg_pd
ATG33,0.09268625456079069,0.7656017973114856,0.9992707319087202,pg_pd
ATG36,0.41843541483207414,0.1677839198315301,0.9992707319087202,pg_pd
ATG38,-0.4872493064191325,0.5200450035648685,0.9992707319087202,pg_pd
ATG39,-0.8084117753683301,0.1057868926320257,0.915135566709285,pg_pd
ATG40,-1.0013338521915496,0.15797278702777096,0.9992707319087202,pg_pd
ATG42,-0.5178594754294389,0.46148208875676605,0.9992707319087202,pg_pd
ATG5,-0.5562239651105526,0.24788577568496922,0.9992707319087202,pg_pd
ATG7,-0.2338666182428236,0.5589970107301774,0.9992707319087202,pg_pd
ATG9,-0.7430075682236637,0.4183706343682414,0.9992707319087202,pg_pd
ATO2,-0.13812386015689376,0.86040885246644,0.9992707319087202,pg_pd
ATP19,-0.5268562674538261,0.330332707692499,0.9992707319087202,pg_pd
ATP20,2.7387139669452494,0.03235247081519438,0.49870989586400694,pg_pd
ATR1,0.14177987727044525,0.9428716898726359,0.9992707319087202,pg_pd
ATR2,0.5520404877140255,0.4872676358036547,0.9992707319087202,pg_pd
ATS1,-0.12727965075882336,0.9259907412841673,0.9992707319087202,pg_pd
ATX2,-1.3063962674211083,0.16788691166592618,0.9992707319087202,pg_pd
AUS1,-0.9280105999388603,0.29965011100860517,0.9992707319087202,pg_pd
AVO2,-0.005422524369365231,0.9932682394498011,0.9992707319087202,pg_pd
AVT1,-0.020741316929361823,0.9765230807537078,0.9992707319087202,pg_pd
AVT2,-0.19659241186038057,0.8014335571142257,0.9992707319087202,pg_pd
AVT4,0.1702687054349687,0.6884952275243912,0.9992707319087202,pg_pd
AVT6,-0.5864017981627708,0.34766247822711,0.9992707319087202,pg_pd
AVT7,-0.7561102502540178,0.08796198574506665,0.8788659573409141,pg_pd
AXL2,-1.2989803834412748,0.10068988570772693,0.911557767349324,pg_pd
AYR1,0.29473932321066176,0.31942981397146747,0.9992707319087202,pg_pd
AYT1,-0.4003549482112666,0.5385078218515799,0.9992707319087202,pg_pd
AZF1,-0.19486610227698944,0.7078908281086678,0.9992707319087202,pg_pd
BAG7,0.5197763989862183,0.24095261868981416,0.9992707319087202,pg_pd
BAP2,-0.034749545030013644,0.9322058852688626,0.9992707319087202,pg_pd
