name	pd1	pd2	pd3	pg1	pg2	pg3	rd1	rd2	rd3	rg1	rg2	rg3	yd1	yd2	yd3	yg1	yg2	yg3
RPL16B	0	0	0	0	0	0	1	1	1	0	0	0	79	71	37	3	15	2
RPL17B	196	447	756	329	454	343	302	239	208	450	398	636	1082	999	1078	1353	1875	843
RPL18B	110	98	77	93	130	65	126	116	93	106	150	151	625	441	422	146	194	64
RPL19A	0	0	0	0	0	0	0	0	0	1	0	0	6	8	3	0	2	0
RPL1A	1740	1517	2295	1039	812	932	1961	996	1238	1280	854	1404	3807	2238	2941	1833	1279	715
RPL20A	0	0	0	0	0	0	0	0	0	0	0	1	14	24	2	3	0	0
RPL21A	0	0	2	0	0	0	2	2	1	0	0	0	69	84	45	2	8	16
RPL21B	61	419	164	41	180	50	18	68	65	64	142	87	435	486	275	218	553	116
RPL22B	191	248	121	55	84	27	61	67	60	51	95	48	583	479	400	139	143	63
RPL24B	1	25	1	5	15	0	13	12	0	14	18	0	138	123	94	36	82	18
RPL26A	23	43	1	54	32	3	53	63	11	66	17	2	206	202	161	88	109	26
RPL26B	6	38	6	84	52	42	0	9	12	31	31	33	266	261	140	63	93	35
RPL2A	52	171	9	28	115	35	41	47	10	24	62	49	398	425	306	140	208	88
RPL31B	125	5	0	69	50	17	20	1	11	63	38	33	279	220	202	108	124	51
RPL33B	2	0	2	3	0	0	0	0	0	0	0	0	2	2	4	0	0	0
RPL34A	0	6	0	0	22	6	0	0	0	2	12	2	114	80	74	31	22	2
RPL34B	758	434	365	478	464	141	917	463	259	551	468	325	831	741	598	1134	1610	623
RPL35A	128	19	189	61	53	83	45	4	61	95	47	132	625	491	438	112	145	62
RPL35B	2	0	0	2	1	18	0	2	7	6	11	2	100	184	74	21	55	10
RPL36A	0	1	1	14	7	1	4	14	0	13	15	3	249	218	184	38	54	28
RPL37B	1	0	0	2	3	1	0	0	1	0	0	1	108	160	63	14	26	6
RPL38	143	348	818	95	246	359	198	273	412	135	220	417	692	800	476	313	643	157
RPL40A	155	406	442	274	223	241	242	276	283	374	342	137	594	617	466	719	731	199
RPL40B	112	2	8	56	25	33	32	8	17	59	24	9	353	287	270	93	113	43
RPL41A	481	465	681	206	267	243	434	133	247	383	281	430	1888	1608	1372	449	410	232
RPL41B	256	772	721	150	694	347	120	520	474	143	676	352	559	516	349	458	1169	449
RPL43A	0	0	0	0	0	0	0	0	0	2	0	0	14	17	6	0	0	0
RPL43B	1357	892	1082	940	688	633	629	316	438	846	762	1129	2308	1458	2085	2311	2003	1043
RPL4A	24	0	0	4	0	2	0	0	2	7	2	7	24	36	27	11	14	2
RPL6A	0	0	1	0	4	0	0	0	0	0	4	1	233	263	123	61	52	17
RPL6B	1	38	1	0	20	0	6	16	0	0	2	1	89	207	61	64	142	39
RPL8A	63	34	130	3	50	26	12	70	0	13	59	43	423	447	276	206	444	157
RPL9A	1	114	37	45	64	49	0	12	51	31	52	115	414	647	259	167	437	64
RPL9B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RPN10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0
RPN13	2003	5305	6086	1902	3581	2505	2177	3459	2945	1950	3746	3858	2232	1805	1660	2438	5198	2169
RPN4	157	174	83	380	460	80	132	22	23	385	381	230	555	651	508	775	1337	478
RPP1A	0	0	0	0	0	1	0	0	0	0	0	1	7	2	2	2	2	0
RPP1B	46	147	109	100	147	34	105	131	61	94	158	152	595	568	392	493	733	290
RPP2A	81	70	548	78	138	50	54	89	156	133	107	127	572	500	470	223	244	92
RPP2B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
RPR2	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0
RPS0A	6	1	2	52	31	1	4	4	0	48	47	0	582	655	405	294	437	195
RPS10A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RPS10B	0	49	1	3	24	12	2	0	6	2	70	24	237	243	180	40	80	26
RPS11A	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
RPS12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
