name,delta,SE_delta,t_stat,df,pvalue,padj
SEA4,0.8772191876032025,0.5569480440535673,1.5750467157019612,5.8601398901667565,0.16748612402282956,0.999940343744442
KTR4,-0.452718025488986,0.2634526067854617,-1.7184040462262327,3.6460260089157464,0.1677592021071261,0.999940343744442
AIT1,1.011195943999132,0.6463912994601626,1.5643712173162574,5.88619503911882,0.1697133104251595,0.999940343744442
SIR2,-1.1384406071475648,0.7358531793472703,-1.5471029263709981,6.396736476142241,0.16975594906735297,0.999940343744442
SBE22,-0.8393285258786811,0.4794976870714432,-1.750432897820474,3.2548687663070983,0.17112007628763293,0.999940343744442
YCL062W,0.8696810456995325,0.5120470872137212,1.6984395916240025,3.6232130584747857,0.17204432389498597,0.999940343744442
ATR2,0.8284957776931243,0.541401689217027,1.530279262503395,6.411825945628064,0.17367633182608747,0.999940343744442
FRE6,0.6845791798885905,0.43913728460147156,1.5589183699349598,5.521640930712372,0.174264426765725,0.999940343744442
ISC1,2.275410774272543,1.4319277915278783,1.589054132292985,4.8434432095444695,0.17479094092227215,0.999940343744442
PAI3,-0.19044182063431414,0.12481598809078481,-1.525780659572205,6.388937442883091,0.17493320292031617,0.999940343744442
ITR1,0.33491366716112037,0.22271901110300216,1.5037497944269826,7.2433589463185735,0.17493448754564633,0.999940343744442
YDR491C,-1.1654008960544828,0.7665418712018921,-1.520335600490034,6.53286328906321,0.1752485969603075,0.999940343744442
TIR3,-0.5623147919339386,0.357284632213433,-1.5738566432323506,4.93356643767889,0.17711368650918932,0.999940343744442
RTC2,1.4784957650958233,0.9549882041962299,1.548182227381757,5.432139833784851,0.17764420076730966,0.999940343744442
YBR137W,0.5415122896800577,0.36163052061215356,1.4974186602486084,7.043919250575172,0.177688623625648,0.999940343744442
SHG1,0.8192623006179343,0.5210088983498051,1.5724535669405821,4.856332650571259,0.1783645147878173,0.999940343744442
CIS1,0.6431339049993374,0.40891634507321933,1.5727762236654537,4.833147550628121,0.17857656239370914,0.999940343744442
POM34,2.008849615836948,1.2569451930410047,1.598199847502352,4.354889470080569,0.17944074037977403,0.999940343744442
CMS1,0.9081212822068654,0.5884627449926897,1.543209472365403,5.236184633455515,0.1808187025518446,0.999940343744442
YJR115W,1.5463645549516492,0.9308154185380536,1.6613009670385372,3.526808662387999,0.18147352737570516,0.999940343744442
VAM10,1.0963199787748352,0.6958010227091377,1.5756228332436994,4.484205204685105,0.18256272689376932,0.999940343744442
HOT1,0.3039472042750333,0.2041726923491347,1.4886770643905918,6.504219531967991,0.18337587296174565,0.999940343744442
YKR104W,0.9663105341503773,0.6508763999121198,1.4846298533498017,6.575120397776681,0.1839278277539275,0.999940343744442
ADI1,-0.3839594822800869,0.23688675166310472,-1.6208567156433717,3.7875577116007744,0.18433249003677696,0.999940343744442
YNL092W,0.5622978959454557,0.3555656992237356,1.5814177159750054,4.252037347286993,0.18473922456090888,0.999940343744442
YKU70,0.6460948414945378,0.4304264381405176,1.5010575193422777,5.77694434750273,0.18588745745892893,0.999940343744442
GSC2,0.5306428610377134,0.3443263056758293,1.5411046216645858,4.813357188759123,0.18615641105834707,0.999940343744442
MAD2,1.0793279001839133,0.7112033623192543,1.5176079829884304,5.308427362448846,0.1862196118445277,0.999940343744442
YPR014C,0.6158035846184822,0.3994494996683012,1.5416306319818631,4.344294295918401,0.19243372234264428,0.999940343744442
PXA2,0.8204912366525883,0.5607272883412935,1.4632625408328377,6.112582896749158,0.19283651574320843,0.999940343744442
YBR292C,0.26381650600718665,0.17885209004600944,1.4750540848548106,5.737716705659048,0.19284797056554875,0.999940343744442
GLO1,1.1174245825389106,0.7693091589215543,1.452503937565695,6.432974146995887,0.19333138011998327,0.999940343744442
PBS2,0.5653421876272011,0.39196338747972953,1.442334171215004,6.7661668938160595,0.1938510075072636,0.999940343744442
YER108C,-0.8345736681888098,0.5836345544447923,-1.4299593158645898,7.093403924616113,0.1952608062195926,0.999940343744442
YMR155W,0.9552867727448247,0.623161357852442,1.5329685653760106,4.28078774451873,0.19544451648524291,0.999940343744442
YSC83,0.4825158388282178,0.3328836635891563,1.449502909291869,6.242691382992008,0.19550654687162972,0.999940343744442
RMD6,-0.6727997449067855,0.43009741336611534,-1.564296189649652,3.843452993749555,0.1956541324639637,0.999940343744442
CCW14,0.6284793186103634,0.4247971970071341,1.4794808511879345,5.31360124844824,0.19570813807866003,0.999940343744442
YOR343C,0.977552667608502,0.6702636649787496,1.45845988479697,5.815974759351285,0.19651083281302417,0.999940343744442
PST1,-0.7637970002064387,0.5180300182165092,-1.4744261400836658,5.322759772137712,0.19691487321506057,0.999940343744442
STE13,0.8174695814277562,0.5544806645357421,1.474297723460223,5.3055064037011155,0.19712284770054037,0.999940343744442
TOF1,-0.5066216567411308,0.33686456130947434,-1.5039327816846313,4.599735165930068,0.19788391173564568,0.999940343744442
FUS2,1.5307148933016497,1.039635145595371,1.4723577783868114,5.103671120564128,0.1997511099864225,0.999940343744442
ECM21,-0.9942267102760205,0.561492712500876,-1.7706849762087864,2.337058554692409,0.20013950412972908,0.999940343744442
UFD4,-0.740034456623393,0.5244261836217281,-1.4111317850543947,6.773467502667986,0.2024470896184379,0.999940343744442
YMR119W-A,0.4436458502484433,0.2690748280629099,1.648782435140007,2.8441739588000785,0.20269722830147768,0.999940343744442
YML096W,-1.2673862361622485,0.8561818137097289,-1.4802769877472897,4.648993903941041,0.20315604088078587,0.999940343744442
