Description	condition	padj	pvalue	NES	geneID	coverage	setSize	qvalue
RNA processing	pg_pd	0.09495137771233124	3.9236106492698857e-4	1.562467195293718	CFD1/MSL1/RPS24B/HUB1/KTI12/LOT5/RPS18B/YJR084W/RPS14A/NCS2/RTC3/RPS0A/ZUO1/MPP6/ELP4/RPL35B/TCD1/RPS26B/SSB1/BRR1/MTO1/RPL37B/CDC73/EDC1/ELP6/RPS1A/RPS28B/HIT1/SKY1/NGL2/ATS1/ELP3/RPS27B/KNS1/RPS28A/EFG1/KTI11/RRP8/MSS1/PET54/TSR2/SPT4/LHP1/CGR1/RPL14A/RPS6A/UBA4/RPS16A/ABP140/UBP8/TAD1/BUD31/SLM3/SWM2/MUD1/PML1	37.58389261744966	149	0.04883862729222779
regulation of heterochromatin organization	pg_pd	0.12008327516640549	9.495963901347804e-4	1.7309369377889199	SDS3/SIR4/DEP1	30	10	0.0675427206817671
conjugation with cellular fusion	pg_pd	0.12194657775055373	0.001141567582906612	1.715968473248651	STE7/HUB1/STE2/FAR1/STE11/FUS2/STE4/MFA1/STE24/SAG1/BEM1/NIP100/RVS161/RCE1/GPA1/STE20/AFB1/EFG1/FPK1/MFA2/SCW4/FUS1/LRG1	42.592592592592595	54	0.07104756140984574
translation	pg_pd	0.12466208621319286	0.0014309238546050603	1.4569451431207208	RPS24B/MMF1/RTC6/RSM25/MRPL13/RPS18B/RPS14A/MRPL17/RPL26B/RPS25A/RPS29A/RPL31B/RPS0A/ZUO1/RPL36A/RSM22/TEF4/RPL35B/AEP1/DOM34/TIF2/TIF4631/RPS26B/SSB1/RPL34A/AAT2/RPL9A/RPL40B/RPS10B/PUF6/RPL37B/EDC1/SKI2/GUF1/RPS1A/RPS28B/KSP1/PET122/RPS27B/MRPL20/RPS28A/RPL26A/RPS22B/HPM1/MRP7/RPL12A/PET54/RPL6A/YPR096C/YDL177C/MRPL11/SKI7/COA3/RPL14A/RPS6A/RPS16A/PUB1	32.758620689655174	174	0.07499467958207132
protein-containing complex localization	pg_pd	0.14715518563505903	0.00204375322797807	1.7557711831215443	SIR4/SIR3/SIR2/RPS18B/RPS0A/ZUO1/TRS33/RPS26B/SSB1/RPL40B/RPS10B/RPS28B	37.5	32	0.09219835798349142
organelle localization	pg_pd	0.14715518563505903	0.0022591976184148876	1.5865685113774857	SIR4/SIR3/BNI1/SIR2/RPS18B/PAC1/RPS0A/LDB18/ZUO1/GCS1/RPS26B/CTF8/SSB1/NIP100/NAT3/RPL40B/GPA1/MMR1/SMY1/RPS10B/MPC54/RPS28B/LRS4/TCB2/RPS28A/RTT107	29.88505747126437	87	0.09219835798349142
constitutive heterochromatin formation	pg_pd	0.14715518563505903	0.002366151146887836	1.6979307907753098	SDS3/BRE1/SIR4/SIR3/ESC2/SIR2/DEP1/SIR1/IES3/MRC1/SDC1/NUP2	25.53191489361702	47	0.09219835798349142
ribosomal subunit export from nucleus	pg_pd	0.14715518563505903	0.002445891543420467	1.741213886729667	RPS18B/RPS0A/ZUO1/RPS26B/SSB1/RPL40B/RPS10B/RPS28B/RPS28A	60	15	0.09219835798349142
protein-containing complex organization	pg_pd	0.14715518563505903	0.0024998814823219396	1.3418795687504526	MHF2/ELM1/SDS3/BRE1/SIR4/SIR3/CAP2/YTA7/SIP2/TMA17/BNI1/ESC2/SIR2/LOT5/DEP1/SIR1/RPS14A/RAD54/POM152/ATP20/VPS1/RPS0A/EAF7/HHF1/TRS33/IES3/NGG1/RAV1/TIF2/TIF4631/RSA3/HSP104/SDH5/SSB1/RVS161/GIM5/BRR1/MRC1/SDC1/NUP2/CHZ1/RPL40B/GID12/ATP18/COA2/SWA2/INA22/CDC73/POM34/AIP1/RDH54/SOM1/RPS28B/STE20/HIT1/NUP188/SPT8/MVB12/LRS4/SKY1/NPL6/PET122/RPS27B/NHP10/PAC10/IRS4/CAC2/HHF2/ARP6/RPS28A/SWD1/RBL2/ASH1/HPM1/MRP7/POC4/RPL12A/OXA1/DLS1/RPL6A/SPT4/IES1/HHT1/THO1/ASF1/COA3/CYT2/PET100/PHO2/RPL14A/RTT109/PUB1/HSP82/CHL4/RAD55/MSH2	29.81366459627329	322	0.09219835798349142
cellular response to pheromone	pg_pd	0.16846211828110125	0.0031763002002061676	1.7092781950776175	STE7/STE2/FAR1/STE11/STE4/YJR084W/MFA1/SST2/SAG1/GPA1/STE20/AFB1/EFG1/FPK1/MFA2	41.66666666666667	36	0.10906642429746044
sex determination	pg_pd	0.19324420716279936	0.00470245315869071	1.6800610328465673	HO/SIR2/RAD27/SGS1/SHE2	38.46153846153847	13	0.1377250987034493
mating type determination	pg_pd	0.19324420716279936	0.00470245315869071	1.6800610328465673	HO/SIR2/RAD27/SGS1/SHE2	38.46153846153847	13	0.1377250987034493
mating type switching	pg_pd	0.19324420716279936	0.00470245315869071	1.6800610328465673	HO/SIR2/RAD27/SGS1/SHE2	38.46153846153847	13	0.1377250987034493
peptide metabolic process	pg_pd	0.2086457802989441	0.005194098880269654	1.3903877368621353	TRX2/RPS24B/MMF1/RTC6/RSM25/MRPL13/RPS18B/RPS14A/MRPL17/RPL26B/RPS25A/RPS29A/RPL31B/RPS0A/ZUO1/RPL36A/RSM22/TEF4/RPL35B/AEP1/DOM34/TIF2/TIF4631/RPS26B/SSB1/RPL34A/AAT2/RPL9A/RPL40B/RPS10B/PUF6/RPL37B/EDC1/SKI2/GUF1/RPS1A/RPS28B/KSP1/PET122/RPS27B/MRPL20/RPS28A/RPL26A/RPS22B/YPF1/HPM1/MRP7/RPL12A/PET54/RPL6A/YPR096C/YDL177C/MRPL11/SKI7/COA3/RPL14A/RPS6A/RPS16A/PUB1	30.256410256410255	195	0.14496070795065943
protein-RNA complex assembly	pg_pd	0.22898601961646928	0.00620301889686487	1.6283410922278183	LOT5/RPS14A/RPS0A/TIF2/TIF4631/RSA3/BRR1/RPL40B/CDC73/RPS28B/HIT1/SKY1/RPS27B/RPS28A/HPM1/RPL12A/RPL6A/THO1/RPL14A/HSP82	46.51162790697674	43	0.15838207493749443
positive regulation of molecular function	pg_pd	0.24512080884935417	0.007181531666882303	1.6683603625788685	RAS1/ESC2/PAC1/IGO2	28.57142857142857	14	0.16924875256510216
