pvalue	Description	condition	NES	geneID	coverage	setSize	qvalue	padj
0.008684290750496041	RNA catabolic process	pg_rg	1.580385705931835	IPK1/RAD27/SKI2/PUB1/RPS28A/RTT101/CTH1/STO1/NPL4/EFG1/YGR122W/NAM7	19.672131147540984	61	0.35475503511135653	0.24887349019184707
0.009778304848071209	DNA conformation change	pg_rg	1.7737337359543626	SGS1/MMS4/YRF1-6/RAD54/RAD5	31.25	16	0.38465144607032553	0.26991367111253933
0.01025398469698633	response to salt stress	pg_rg	1.717387603307762	STD1/FRT1/MYO5	27.27272727272727	11	0.3889575398217747	0.2757182551856324
0.011173482688441849	phosphate-containing compound metabolic process	pg_rg	1.30824218233347	IPK1/OPI3/ATP20/SPS1/TDA1/KCS1/SAC1/HAM1/TDH1/REG2/FBP1/TKL1/ASF1/LSB6/CRD1/ISN1/UPS1/YMR315W/THI12/PFK27/GAL80/ADH5/AKL1/YLR345W/KSP1/VPS30/LSC1/ATG15/IDP2/KNS1/GPD1/MPA43/URA4/TAL1/NDE2/NMA2/DDP1/URH1/ACS1/PYK2/SOL3/TES1/KGD2/PTP3/TDH3/BST1/CIT1/SLC1/TGL4/APA2/NCA3/LAT1/INO4/LPP1/OPY1/THI21/ERI1/PLC1/ELM1/TDH2/SCS3/GDE1/LCB4/MKK2/PRK1/KSS1/PSK2/NNR2/PRS5/YCK1/THR1/RTK1/YAK1/THI6/FAA4/PSD1	24.836601307189543	306	0.4092211990068176	0.2829749452956552
0.012889035560844296	mRNA metabolic process	pg_rg	1.4650428919561573	BRR1/IPK1/ECM2/SPT4/PIH1/SKI2/PUB1/RPS28A/SYC1/CTH1/STO1/SNT309	12.5	96	0.42969341313486453	0.30982070927452615
0.013332886388728347	cell death	pg_rg	-1.5835411218085325	MCA1/AIF1/NMA111/BMH2	16.666666666666664	24	0.42969341313486453	0.30982070927452615
0.013332886388728347	programmed cell death	pg_rg	-1.5835411218085325	MCA1/AIF1/NMA111/BMH2	16.666666666666664	24	0.42969341313486453	0.30982070927452615
0.013569903149471403	purine ribonucleotide metabolic process	pg_rg	1.5792117852266014	ATP20/TDH1/PFK27/YLR345W/LSC1/DDP1/ACS1/PYK2/TES1/KGD2/TDH3/CIT1/NCA3/LAT1/TDH2/SCS3	34.04255319148936	47	0.42969341313486453	0.30982070927452615
0.01379825932030718	Golgi to vacuole transport	pg_rg	1.692080379771757	APM3/APS3/APL6/YNR065C/APL5	33.33333333333333	15	0.42969341313486453	0.30982070927452615
0.014159867182095387	phosphorus metabolic process	pg_rg	1.3104295367889582	IPK1/OPI3/ATP20/SPS1/TDA1/KCS1/SAC1/HAM1/TDH1/REG2/FBP1/TKL1/ASF1/LSB6/CRD1/VTC5/ISN1/UPS1/YMR315W/THI12/PFK27/GAL80/ADH5/AKL1/VTC1/YLR345W/KSP1/VPS30/LSC1/ATG15/IDP2/KNS1/GPD1/MPA43/URA4/TAL1/NDE2/NMA2/DDP1/URH1/ACS1/PYK2/SOL3/TES1/KGD2/PTP3/TDH3/BST1/CIT1/SLC1/TGL4/APA2/NCA3/LAT1/INO4/LPP1/OPY1/THI21/ERI1/PLC1/ELM1/TDH2/SCS3/GDE1/LCB4/MKK2/PRK1/KSS1/PSK2/NNR2/PRS5/YCK1/THR1/RTK1/YAK1/THI6/FAA4/PSD1	24.761904761904763	315	0.42969341313486453	0.3146958237000383
0.015211500569583685	protein retention in Golgi apparatus	pg_rg	1.6650918695786268	VPS36/UBP3/VPS27/VPS5	40	10	0.4412517440464249	0.3287723516232113
0.015471593089191655	nuclear-transcribed mRNA catabolic process	pg_rg	1.6202828381172343	IPK1/SKI2/PUB1/RPS28A/CTH1/STO1/YGR122W/NAM7/POP2/PAN3/SKI7/YPL199C/NMD4/SKA1/PKH2/EDC2	38.095238095238095	42	0.4412517440464249	0.33012641520521613
0.01583909706904348	generation of precursor metabolites and energy	pg_rg	1.4133824413273717	CSF1/COX8/GLC8/TDH1/SDH5/TKL1/SOD1/SDH1/YMR315W/PFK27/ADH5/YLR345W/LSC1/CIR1/MBR1/IDP2/YBR238C/TAL1/NDE2/ACS1/PYK2/SOL3/KGD2/DAL7/TDH3/CIT1/NCA3/PIG2/COQ10/TDH2	27.77777777777778	108	0.4412517440464249	0.3317072443882375
0.016202554129752272	fatty acid metabolic process	pg_rg	1.565412503748674	ELO3/ARF1/HTD2/YAT2/PXA1/ELO2/PXA2/YAT1/CIR1/DCI1/TES1	29.72972972972973	37	0.4412517440464249	0.33608726566286146
0.0176642288449363	ribonucleotide catabolic process	pg_rg	1.6526902426892138	TDH1/PFK27/YLR345W/DDP1/PYK2/TDH3/CIT1/TDH2/SCS3	42.857142857142854	21	0.45894809611112874	0.346735514039161
