gene_id	go_term
KHS1	GO:0008150
KHS1	GO:0110165
LSR1	GO:0000245
LSR1	GO:0000348
LSR1	GO:0000375
LSR1	GO:0000377
LSR1	GO:0000395
LSR1	GO:0000398
LSR1	GO:0003674
LSR1	GO:0003676
LSR1	GO:0003723
LSR1	GO:0005488
LSR1	GO:0005575
LSR1	GO:0005622
LSR1	GO:0005634
LSR1	GO:0005686
LSR1	GO:0006139
LSR1	GO:0006376
LSR1	GO:0006396
LSR1	GO:0006397
LSR1	GO:0006725
LSR1	GO:0006807
LSR1	GO:0008150
LSR1	GO:0008152
LSR1	GO:0008380
LSR1	GO:0009058
LSR1	GO:0009059
LSR1	GO:0009987
LSR1	GO:0010467
LSR1	GO:0016043
LSR1	GO:0016070
LSR1	GO:0016071
LSR1	GO:0022607
LSR1	GO:0022613
LSR1	GO:0022618
LSR1	GO:0030532
LSR1	GO:0030627
LSR1	GO:0032991
LSR1	GO:0034641
LSR1	GO:0036002
LSR1	GO:0043170
LSR1	GO:0043226
LSR1	GO:0043227
LSR1	GO:0043229
LSR1	GO:0043231
LSR1	GO:0043933
LSR1	GO:0044085
LSR1	GO:0044237
LSR1	GO:0044238
LSR1	GO:0044249
LSR1	GO:0045131
LSR1	GO:0045292
LSR1	GO:0046483
LSR1	GO:0065003
LSR1	GO:0071704
LSR1	GO:0071826
LSR1	GO:0071840
LSR1	GO:0090304
LSR1	GO:0097159
LSR1	GO:0097525
LSR1	GO:0110165
LSR1	GO:0120114
LSR1	GO:0140513
LSR1	GO:1901360
LSR1	GO:1901576
LSR1	GO:1990904
MAL1	NA
MAL2	NA
MAL21	GO:0003674
MAL21	GO:0005215
MAL21	GO:0005363
MAL21	GO:0005575
MAL21	GO:0006810
MAL21	GO:0008150
MAL21	GO:0008643
MAL21	GO:0009987
MAL21	GO:0015144
MAL21	GO:0015154
MAL21	GO:0015157
MAL21	GO:0015766
MAL21	GO:0015768
MAL21	GO:0015772
MAL21	GO:0016020
MAL21	GO:0022857
MAL21	GO:0034219
MAL21	GO:0051179
MAL21	GO:0051234
MAL21	GO:0055085
MAL21	GO:0071702
MAL21	GO:0110165
MAL21	GO:1904981
MAL22	GO:0000023
MAL22	GO:0000025
MAL22	GO:0003674
MAL22	GO:0003824
MAL22	GO:0004553
MAL22	GO:0004558
MAL22	GO:0005575
MAL22	GO:0005975
MAL22	GO:0005984
MAL22	GO:0008150
MAL22	GO:0008152
MAL22	GO:0009056
MAL22	GO:0009311
MAL22	GO:0009313
MAL22	GO:0015926
MAL22	GO:0016052
MAL22	GO:0016787
MAL22	GO:0016798
MAL22	GO:0032450
MAL22	GO:0044238
MAL22	GO:0046352
MAL22	GO:0071704
MAL22	GO:0090599
MAL22	GO:1901575
MAL23	GO:0000023
MAL23	GO:0000025
MAL23	GO:0003674
MAL23	GO:0003700
MAL23	GO:0005575
MAL23	GO:0005622
MAL23	GO:0005634
MAL23	GO:0005975
MAL23	GO:0005984
MAL23	GO:0006139
MAL23	GO:0006351
MAL23	GO:0006355
MAL23	GO:0006725
